row col x_error y_error
5 15 0.3124369383 -0.1588749886
6 0 -0.1816824675 -0.9417012930
6 1 0.2812486887 -0.4399156570
6 2 0.1772500277 -0.4527392387
6 3 0.1371352673 -0.5057954788
6 4 0.1274223531 -0.7717234948
6 5 -0.0543279256 -0.6424132529
6 6 0.0686211186 -0.6025660748
6 7 -0.0580440811 -0.6526546670
6 8 -0.0052626308 -0.5004667987
6 9 -0.1034414343 -0.4823139132
6 10 0.3723109462 -0.4884711408
6 11 0.4099908244 -0.9253622507
6 12 -0.0985918045 -1.0625095367
6 13 0.2420942783 -1.1491006613
6 14 -0.0650923252 -1.0872060061
6 15 0.1796271801 -0.8047071695
7 0 0.1967611313 1.1117677689
7 1 0.2403972149 0.7268158197
7 2 -0.3068015575 1.4830048084
7 3 0.1856832504 1.4475299120
7 4 -0.8635109122 1.4502651346
7 5 0.3291057255 1.0686274754
7 6 -0.2766404053 1.1917619007
7 7 0.2446999163 1.6322530646
7 8 -0.2759831538 1.2365035007
7 9 -0.3501974526 0.7039849540
7 10 0.3787839582 0.9117078815
7 11 -0.0684105462 1.1726328630
7 12 0.0170757771 0.6302870512
7 13 0.2661960125 0.6679854393
7 14 0.1335884333 0.0291365385
7 15 -0.5296983719 0.8838616610
8 0 -0.6270387173 -1.5889830589
8 1 -0.3959093094 -3.6579728127
8 2 -0.1899694204 -3.5246970654
8 3 -0.6926534176 -3.8423622847
8 4 -0.2725961360 -3.8250132094
8 5 0.2843820229 -3.7290191501
8 6 0.7140216202 -3.4697471076
8 7 0.0714137847 -3.9134738651
8 8 -0.2459493976 -3.7407579314
8 9 0.1377807212 -3.9685880461
8 10 -0.1971533608 -3.9164220405
8 11 -0.0169988742 -4.1047999372
8 12 -0.0064477921 -4.1131446362
8 13 0.5387575626 -3.9788811207
8 14 -0.6132224798 -3.9626183510
8 15 0.4818373919 -3.1054091454
9 0 -0.7504421473 -3.6366798878
9 1 -0.0628358126 -3.2786566019
9 2 -0.5060826540 -3.9085720778
9 3 -0.3114129305 -3.8662638664
9 4 -0.1024081989 -3.7737362574
9 5 -0.8460601938 -4.2874509908
9 6 -0.5517398215 -4.5407741331
9 7 0.2497817540 -4.4877175939
9 8 0.2141850088 -4.4844015893
9 9 0.1855755779 -4.0716745516
9 10 -0.5012929292 -3.9288339808
9 11 -0.8361376792 -4.5199266073
9 12 -0.2709927559 -4.7055705786
9 13 -0.1319296360 -4.5287072659
9 14 -0.3905665874 -4.6659564972
9 15 -0.4072502851 -4.8070316315
10 0 -1.7133712769 4.5386301279
10 1 -2.2581155300 4.8535012007
10 2 -1.9884514809 4.8587372303
10 3 -1.7379546165 4.8639575243
10 4 -1.5048750639 4.8686275482
10 5 -1.2873747749 4.8730025410
10 6 -1.0892393166 4.8758936005
10 7 -1.6853847141 4.5545765988
10 8 -0.6623347804 3.9425595285
10 9 -2.1004138839 3.6217354319
10 10 -1.0025780211 3.6391292535
10 11 -0.8100407475 3.6346752390
10 12 -0.6295264959 3.6304066181
10 13 -0.4597405195 3.6266430616
10 14 -0.2999848127 3.6229460239
10 15 -2.0957164764 3.6542788744
11 0 0.3849239349 1.7544819117
11 1 -0.3381688595 0.7223443985
11 2 -0.7864446640 1.2275269032
11 3 -0.0674719810 1.6796443462
11 4 0.2358422279 0.2073407173
11 5 -2.1665480489 2.4914529778
11 6 0.8084044791 3.1069544677
11 7 0.3176348294 2.7106322905
11 8 -1.0789511073 2.6774878919
11 9 0.7540073172 3.5608775769
11 10 -0.0413507843 2.1504995508
11 11 -1.3713389635 1.8344953060
11 12 0.6469551325 2.3065992594
11 13 -0.2228809595 1.8095376492
11 14 -0.6720583439 2.1569933891
11 15 -0.6916558743 3.5076956749
12 0 0.6351487637 -0.3221567869
12 1 0.6930449009 0.1635266542
12 2 0.5702676773 0.0464152098
12 3 0.1440726519 0.1231582165
12 4 0.4170897007 -0.2799239159
12 5 0.5309270620 0.0096449852
12 6 0.4108192921 -0.1244603395
12 7 0.5057591200 -0.0607157946
12 8 0.3966073990 0.2118742466
12 9 0.4560953379 0.0629726648
12 10 0.2667568922 -0.2598741055
12 11 0.4706805944 0.0516272783
12 12 0.5844230652 -0.3208668232
12 13 0.8260502815 0.1821181774
12 14 0.8708411455 0.1865667105
12 15 0.4073241949 0.0157456398
13 0 0.6743172407 0.0530871153
13 1 0.2704864740 -0.2221825123
13 2 0.2743883133 -0.0459187031
13 3 0.2808810472 0.1223657131
13 4 0.4601727724 0.1471883059
13 5 0.1277858019 -0.0423471928
13 6 0.2402356863 -0.0161870718
13 7 0.0826481581 -0.2580492496
13 8 0.5566785336 -0.1417176723
13 9 0.2433915138 -0.0251593590
13 10 0.3603783846 0.0769639015
13 11 0.2107089758 0.0537543297
13 12 0.1507067680 0.2466448545
13 13 0.2263832092 -0.1725971699
