x_centroid y_centroid
7.9388885498 7.9414194822
-7.9865763187 -7.6350671053
7.6932767630 7.5908389091
-7.8374016285 7.2125010490
-7.9803137779 7.5494029522
7.8778768778 7.4407968521
7.5193718672 7.2100168467
7.9511245489 7.3829109669
7.6428109407 -7.9864549637
7.9972128868 7.7934161425
7.8961137533 7.8420164585
7.9687931538 -7.4971570969
0.0000000000 0.0000000000
