row col x_centroid y_centroid
6 13 9.5410903692 2.0661690235
6 14 8.5720400810 2.0949842930
6 15 7.3368997574 2.0160430670
7 0 7.3676540852 5.5294170380
7 1 6.5107644796 4.9585343599
7 2 5.5315166712 4.9476728439
7 3 4.6283599138 4.8911955357
7 4 3.6689745188 4.8801074028
7 5 3.0030223131 4.8568328619
7 6 2.2737795115 4.9586031437
7 7 2.2902822495 2.3017913103
7 8 12.6038453579 2.2769229412
7 9 12.6894636154 4.8839330673
7 10 12.0455918312 4.7615926266
7 11 11.4329621792 4.7521655560
7 12 10.4738491774 4.7216762304
7 13 9.5640044212 4.6480668783
7 14 8.5837841034 4.6412229538
7 15 7.4847971201 5.0817532539
8 0 7.3619340658 9.6828277111
8 1 6.5240488052 10.1505907774
8 2 5.5478361845 10.1265370846
8 3 4.6367211342 10.1167618036
8 4 3.6622829437 10.0950415134
8 5 3.0037313700 10.0553519726
8 6 2.2678213120 9.9210543633
8 7 2.2740118504 12.6402280331
8 8 12.5721786022 12.5875043869
8 9 12.6871128082 9.8266609907
8 10 12.0434643030 9.8704124689
8 11 11.4225660563 9.8315250874
8 12 10.4639527798 9.8075591326
8 13 9.5657187700 9.8028790951
8 14 8.5940488577 9.7943477631
8 15 7.4607062340 9.2193927765
9 0 7.1648926735 12.9202111959
9 1 6.5413228273 12.8559505939
9 2 5.5535691977 12.8441532850
9 3 4.6441266537 12.8563535213
9 4 3.6712729931 12.8494554758
9 5 2.9875830412 12.8447438478
9 6 2.2770811319 12.6218628883
9 7 4.8181589842 12.7110339403
9 8 9.7783108950 12.6850132942
9 9 12.5622571707 12.5918490887
9 10 12.0529845953 12.7746957541
9 11 11.4251208305 12.7455384731
9 12 10.4693974257 12.7466627359
9 13 9.5720241070 12.7317315340
9 14 8.5987209082 12.7178311348
9 15 7.2819139957 12.3085091114
10 0 6.5000000000 0.0000000000
10 1 6.4598190784 12.0248380899
10 2 5.5779438019 12.0644085407
10 3 4.6435322762 12.0704898834
10 4 3.6787817478 12.0633690357
10 5 2.9848198891 12.0749074221
10 6 2.0880869627 12.0642721653
10 7 4.7290534973 12.0745353699
10 8 9.8117209673 12.0388270617
10 9 12.7634826899 12.0682749748
10 10 12.0641549826 12.0761790276
10 11 11.4411422014 12.0651106834
10 12 10.4815542698 12.0729353428
10 13 9.5661379099 12.0775073767
10 14 8.5619570017 11.9999629259
10 15 0.0000000000 0.0000000000
11 0 0.0000000000 0.0000000000
11 1 6.3835165501 11.4886254072
11 2 5.5897432566 11.4102556705
11 3 4.6460468769 11.4253520966
11 4 3.6851661205 11.4258292913
11 5 2.9759913683 11.4373683929
11 6 2.1067239046 11.4386360645
11 7 4.6951994896 11.4571666718
11 8 9.7901501656 11.4512757063
11 9 12.7462911606 11.4601316452
11 10 12.0568461418 11.4690349102
11 11 11.4520045519 11.4690620899
11 12 10.4978963137 11.4798892736
11 13 9.5836076736 11.4973473549
11 14 8.4548033476 11.5014480352
11 15 0.0000000000 0.0000000000
12 0 0.0000000000 0.0000000000
12 1 0.0000000000 0.0000000000
12 2 5.4962006807 10.4962061644
12 3 4.6539387703 10.4713622332
12 4 3.6892123222 10.4809572697
12 5 2.9906885624 10.4855262041
12 6 2.1004197598 10.4788430929
12 7 4.6536540985 10.5035599470
12 8 9.7878570557 10.5037491322
12 9 12.7348845005 10.5145176649
12 10 12.0637058020 10.5241394043
12 11 11.4655808210 10.5354243517
12 12 10.4747501612 10.5358029604
12 13 9.5256724358 10.4961246252
12 14 0.0000000000 0.0000000000
12 15 0.0000000000 0.0000000000
13 0 0.0000000000 0.0000000000
13 1 0.0000000000 0.0000000000
13 2 3.9999998808 10.9999998808
13 3 4.6355245113 9.5849845409
13 4 3.6943588257 9.5612435341
13 5 3.0031220913 9.5781158209
13 6 2.0890836716 9.5981200933
13 7 4.6075162888 9.6176996231
13 8 9.7865755558 9.6161381006
13 9 12.7200857401 9.6278523207
13 10 12.0715759993 9.6348541975
13 11 11.4726619720 9.6312911510
13 12 10.4454886913 9.5732140541
13 13 0.0000000000 8.9999998808
13 14 0.0000000000 0.0000000000
13 15 0.0000000000 0.0000000000
14 0 0.0000000000 0.0000000000
14 1 0.0000000000 0.0000000000
14 2 0.0000000000 0.0000000000
14 3 0.0000000000 0.0000000000
14 4 3.6629204750 8.5224698782
14 5 3.0427461863 8.6092377901
14 6 2.0653792620 8.6377226114
14 7 4.5755796432 8.6692707539
14 8 9.7997407913 8.6687119007
14 9 12.6892668009 8.6694521904
14 10 11.9892388582 8.6233365536
14 11 11.4064182043 8.5233809948
14 12 0.0000000000 0.0000000000
14 13 0.0000000000 0.0000000000
14 14 0.0000000000 0.0000000000
14 15 0.0000000000 0.0000000000
15 0 0.0000000000 0.0000000000
15 1 0.0000000000 0.0000000000
15 2 0.0000000000 0.0000000000
15 3 0.0000000000 0.0000000000
15 4 0.0000000000 0.0000000000
15 5 0.0000000000 0.0000000000
15 6 2.0109283924 7.3224022388
15 7 4.9532163143 7.4931774139
15 8 9.2003531456 7.5139000416
15 9 12.3478231430 7.3913025856
15 10 0.0000000000 0.0000000000
15 11 0.0000000000 0.0000000000
15 12 0.0000000000 0.0000000000
15 13 0.0000000000 0.0000000000
15 14 0.0000000000 0.0000000000
15 15 0.0000000000 0.0000000000
